Order_ID,Customer_ID,Order_Date,Product_Name,Category,Size,Color,Price,Quantity,Total_Amount,Rating,Feedback,Payment_Method,City,Delivery_Days
ORD1,CUST229,2026-01-04,Hoodie,T-Shirts,M,Blue,3516,1,3516,5,Excellent,Net Banking,Hyderabad,2
ORD2,CUST192,2026-01-28,Jeans,Bottomwear,S,Grey,3432,3,10296,5,Not satisfied,COD,Chennai,6
ORD3,CUST570,2026-01-01,Polo T-Shirt,Jackets,XL,Red,1638,1,1638,2,Average,UPI,Hyderabad,5
ORD4,CUST199,2026-02-15,Track Pants,Bottomwear,L,Black,3488,2,6976,5,Excellent,Net Banking,Hyderabad,6
ORD5,CUST601,2026-03-22,Blazer,Jeans,M,White,687,3,2061,2,Average,UPI,Bangalore,2
ORD6,CUST779,2026-02-05,Chinos,Jackets,L,Blue,2016,2,4032,2,Average,UPI,Delhi,7
ORD7,CUST351,2026-03-10,Jeans,T-Shirts,XL,Beige,1605,3,4815,5,Good quality,Card,Hyderabad,3
ORD8,CUST66,2026-02-10,Denim Jacket,Jeans,S,Grey,2823,3,8469,3,Good quality,Net Banking,Chennai,7
ORD9,CUST940,2026-01-19,Hoodie,T-Shirts,M,Green,3559,3,10677,4,Value for money,Net Banking,Mumbai,3
ORD10,CUST284,2026-03-07,Chinos,Shirts,S,White,1126,3,3378,2,Not satisfied,UPI,Chennai,5
ORD11,CUST959,2026-03-09,Hoodie,Bottomwear,S,White,3292,3,9876,3,Average,UPI,Mumbai,5
ORD12,CUST324,2026-02-28,Casual Shirt,Jackets,L,Blue,2579,1,2579,3,Value for money,COD,Bangalore,4
ORD13,CUST331,2026-03-11,Joggers,Shirts,L,Yellow,579,1,579,3,Average,COD,Hyderabad,3
ORD14,CUST1162,2026-01-11,Formal Shirt,Jackets,XL,White,3615,3,10845,2,Good quality,Net Banking,Delhi,3
ORD15,CUST543,2026-03-09,Blazer,Winter Wear,M,Grey,3420,2,6840,4,Average,Net Banking,Delhi,5
ORD16,CUST248,2026-02-01,Jeans,Shirts,L,Black,2909,3,8727,2,Value for money,COD,Hyderabad,2
ORD17,CUST121,2026-01-30,Formal Shirt,Shirts,L,White,2605,1,2605,3,Not satisfied,COD,Delhi,3
ORD18,CUST1170,2026-03-15,Chinos,T-Shirts,XL,Beige,1279,1,1279,1,Not satisfied,Card,Chennai,5
ORD19,CUST957,2026-01-07,Formal Shirt,Shirts,XL,Red,3779,1,3779,2,Good quality,COD,Delhi,5
ORD20,CUST288,2026-02-24,Polo T-Shirt,Jeans,XL,Grey,808,2,1616,5,Excellent,UPI,Pune,6
ORD21,CUST31,2026-01-12,Jeans,T-Shirts,XL,Yellow,2471,1,2471,4,Excellent,COD,Chennai,2
ORD22,CUST800,2026-02-03,Chinos,Jeans,XL,Yellow,1134,1,1134,3,Good quality,UPI,Delhi,7
ORD23,CUST1111,2026-01-08,Track Pants,Shirts,S,Yellow,2559,3,7677,2,Excellent,UPI,Bangalore,2
ORD24,CUST140,2026-03-28,Jeans,Winter Wear,S,Grey,2871,3,8613,1,Value for money,UPI,chennai,7
ORD25,CUST1196,2026-03-14,Joggers,Jeans,L,Grey,3243,3,9729,3,Good quality,Card,Chennai,3
ORD26,CUST615,2026-02-28,Track Pants,Shirts,S,Yellow,3044,3,9132,1,Excellent,COD,Delhi,4
ORD27,CUST272,2026-02-14,Formal Shirt,T-Shirts,L,Green,1146,2,2292,5,Average,UPI,Pune,6
ORD28,CUST614,2026-03-26,Formal Shirt,T-Shirts,L,White,938,3,2814,5,Good quality,Card,Mumbai,6
ORD29,CUST432,2026-02-13,Jeans,Jackets,L,Yellow,1528,1,1528,1,Not satisfied,Card,Hyderabad,2
ORD30,CUST684,2026-01-17,Hoodie,T-Shirts,XL,Beige,2797,1,2797,1,Excellent,COD,Delhi,2
ORD31,CUST757,2026-03-16,Joggers,T-Shirts,XL,Blue,671,2,1342,3,Excellent,Card,Bangalore,7
ORD32,CUST512,2026-03-27,Formal Shirt,Jeans,XL,Blue,one thousand,1,1469,2,Not satisfied,UPI,Bangalore,7
ORD33,CUST681,2026-02-22,Jeans,Jeans,M,White,2066,1,2066,4,Good quality,COD,Chennai,4
ORD34,CUST626,2026-01-30,Jeans,Shirts,M,Beige,1844,2,3688,1,Average,Card,Pune,6
ORD35,CUST819,2026-03-28,Joggers,Jeans,S,White,1569,1,1569,5,Average,UPI,Hyderabad,6
ORD36,CUST890,2026-02-14,Track Pants,Winter Wear,S,Beige,2861,1,2861,3,Excellent,Net Banking,Hyderabad,6
ORD37,CUST1103,2026-03-29,Jeans,Jeans,XL,White,3220,2,6440,5,Average,UPI,Pune,4
ORD38,CUST1039,2026-02-09,Denim Jacket,Jeans,XL,Green,2770,1,2770,2,Not satisfied,Net Banking,Pune,7
ORD39,CUST357,2026-03-20,Blazer,Jeans,XL,Black,1744,2,3488,2,Not satisfied,Card,Chennai,5
ORD40,CUST906,2026-03-28,Jeans,Bottomwear,XL,Blue,3198,1,3198,3,Value for money,Card,Hyderabad,3
ORD41,CUST636,2026-01-29,Jeans,T-Shirts,S,Black,1502,2,3004,5,Excellent,Net Banking,Chennai,7
ORD42,CUST1179,2026-01-25,Denim Jacket,Winter Wear,XL,Grey,1104,3,3312,1,Excellent,Net Banking,Bangalore,3
ORD43,CUST1061,2026-03-01,Casual Shirt,Bottomwear,M,White,2369,1,2369,4,Value for money,Card,Chennai,6
